manufacturer,type,avg_price,median_price,total_listings
jeep,unknown,16353.162439441436,13995.0,3509
jeep,van,12264.09090909091,13995.0,11
jeep,wagon,21428.772020725388,18900.0,193
kia,SUV,13113.84589041096,11499.0,1460
kia,bus,11525.5,11525.5,2
kia,coupe,14927.054545454546,16990.0,220
kia,hatchback,10609.039215686274,11771.0,408
kia,mini-van,7713.59842519685,5400.0,127
kia,other,18275.73282442748,17989.0,262
kia,sedan,12558.452338923213,11223.5,2266
kia,unknown,10226.34898388227,8400.0,1427
kia,van,12902.940476190477,13333.0,84
kia,wagon,14464.601867572157,15590.0,1178
land rover,SUV,11876.285714285714,6995.0,7
land rover,offroad,10000.0,10000.0,1
land rover,unknown,8999.5,8999.5,2
lexus,SUV,20939.93834409865,18990.0,1703
lexus,convertible,19339.674242424244,17745.0,132
lexus,coupe,29780.198795180724,31940.0,166
lexus,hatchback,26508.191040843216,29990.0,759
lexus,mini-van,6500.0,6500.0,1
lexus,offroad,13637.25,13300.0,4
lexus,other,27505.707124010554,31590.0,379
lexus,sedan,19405.448136645962,19999.0,3220
lexus,truck,35375.0,35375.0,2
lexus,unknown,15366.395327942499,11000.0,1113
lexus,wagon,20343.09,19957.0,200
lincoln,SUV,23214.152040816327,19869.0,980
lincoln,bus,27862.0,27862.0,2
lincoln,coupe,6769.405405405405,5988.0,37
lincoln,hatchback,25007.1875,24990.0,16
lincoln,other,31472.464367816094,35590.0,435
lincoln,pickup,13464.72,14900.0,25
lincoln,sedan,19663.316855270994,20997.0,1679
lincoln,truck,13100.266666666666,12000.0,15
lincoln,unknown,14024.32078313253,9100.0,664
lincoln,wagon,12374.488372093023,12995.0,43
mazda,SUV,12873.935828877005,10850.0,748
mazda,convertible,18916.213615023473,21590.0,426
mazda,coupe,7275.169491525424,5500.0,59
mazda,hatchback,11865.91111111111,11055.0,495
mazda,mini-van,5114.691358024691,4750.0,81
mazda,other,26582.256020278834,27590.0,789
mazda,pickup,5957.884615384615,5149.5,26
mazda,sedan,9599.055081458495,7950.0,1289
mazda,truck,6995.875,5700.5,32
mazda,unknown,7860.0,5995.0,836
mazda,van,8709.121212121212,8999.0,33
mazda,wagon,11074.536585365853,9992.5,164
mercedes-benz,SUV,23831.357877639417,20288.0,1847
mercedes-benz,bus,7579.0,7579.0,2
mercedes-benz,convertible,23003.106469002694,18940.0,742
mercedes-benz,coupe,27836.719827586207,25990.0,928
mercedes-benz,hatchback,17596.275862068964,17790.0,58
mercedes-benz,mini-van,14568.181818181818,7000.0,11
mercedes-benz,other,32978.97709923664,31590.0,786
mercedes-benz,pickup,49995.0,49995.0,1
mercedes-benz,sedan,20125.8699803426,17865.0,3561
mercedes-benz,truck,29988.03448275862,22995.0,29
mercedes-benz,unknown,18374.22848101266,12950.0,1580
mercedes-benz,van,36997.65354330709,30990.0,254
mercedes-benz,wagon,18859.771186440677,10500.0,118
mercury,SUV,5281.842931937173,5495.0,191
mercury,convertible,3112.714285714286,3500.0,7
mercury,coupe,4128.307692307692,4350.0,26
mercury,hatchback,2950.0,2950.0,2
mercury,mini-van,3067.6363636363635,2900.0,11
mercury,other,4879.944444444444,4995.0,54
mercury,sedan,4226.399521531101,3995.0,418
mercury,truck,5233.333333333333,6000.0,3
mercury,unknown,3896.5798319327732,3900.0,238
mercury,van,5048.125,4800.0,8
mercury,wagon,4266.588235294118,2600.0,17
mini,SUV,13713.45038167939,12998.0,131
mini,bus,20000.0,20000.0,2
mini,convertible,12133.352380952381,8997.0,105
mini,coupe,9155.42194092827,7800.0,237
mini,hatchback,16158.095423563778,15990.0,1027
mini,mini-van,9035.384615384615,6950.0,13
mini,offroad,7000.0,7000.0,1
mini,other,24135.367021276597,23990.0,188
mini,sedan,17833.153153153155,17988.0,111
mini,unknown,8920.677536231884,7600.0,276
mini,van,36323.620689655174,41000.0,29
mini,wagon,12381.381355932202,10541.5,118
mitsubishi,SUV,14417.899686520375,15995.0,957
mitsubishi,bus,9000.0,9000.0,1
mitsubishi,convertible,5062.78,4700.0,50
mitsubishi,coupe,5197.394366197183,4000.0,71
mitsubishi,hatchback,16543.068645640073,18990.0,539
mitsubishi,mini-van,13750.0,14500.0,6
mitsubishi,offroad,24000.0,24000.0,1
mitsubishi,other,19175.48076923077,20990.0,260
mitsubishi,pickup,7638.571428571428,7995.0,7
mitsubishi,sedan,10475.832917705735,7995.0,401
mitsubishi,truck,28142.14285714286,27500.0,196
mitsubishi,unknown,11267.786720321932,7500.0,497
mitsubishi,van,19868.75,18000.0,8
mitsubishi,wagon,13924.033707865168,12991.0,89
morgan,unknown,1400.0,1400.0,2
nissan,SUV,12512.010519801981,10950.0,3232
nissan,bus,30500.0,30500.0,1
nissan,convertible,14858.480392156862,11999.0,102
nissan,coupe,27798.732538330492,33990.0,587
nissan,hatchback,12097.108312342569,9990.0,794
nissan,mini-van,8421.644444444444,6800.0,135
nissan,offroad,8160.0,8900.0,5
nissan,other,15767.926108374384,14969.0,406
nissan,pickup,23155.20223325062,24590.0,1612
nissan,sedan,10199.728218966846,8995.0,5188
nissan,truck,18655.079470198674,14995.0,604
nissan,unknown,9415.487523992322,6999.0,3647
nissan,van,15479.584615384616,15712.0,260
nissan,wagon,13814.710391822828,13490.0,587
pontiac,SUV,4734.25,4747.5,64
pontiac,convertible,11082.886075949367,9875.0,158
pontiac,coupe,8685.854054054054,5499.0,185
pontiac,hatchback,6834.854545454546,4999.5,110
pontiac,mini-van,2985.1923076923076,3097.5,26
pontiac,other,9198.54054054054,6950.0,37
pontiac,sedan,4960.531760435571,4000.0,551
pontiac,unknown,4917.205501618123,3995.0,618
pontiac,van,3161.470588235294,2995.0,17
pontiac,wagon,6027.574074074074,4995.0,54
porsche,SUV,30558.595108695652,30877.0,368
porsche,convertible,23329.87019230769,17800.0,208
porsche,coupe,51685.971153846156,46000.0,104
porsche,hatchback,51955.78571428572,47500.0,14
porsche,other,44748.99173553719,37590.0,121
porsche,sedan,41974.471264367814,33590.0,87
porsche,truck,6500.0,6500.0,1
porsche,unknown,28755.035714285714,25250.0,280
porsche,wagon,22972.833333333332,19900.0,6
ram,SUV,28981.375,28949.5,8
ram,bus,1200.0,1200.0,1
ram,hatchback,15500.0,15500.0,1
ram,mini-van,13877.2,12500.0,25
ram,offroad,36533.125,38495.0,8
ram,other,33121.616766467065,29995.0,334
ram,pickup,31702.212883524793,31777.0,6877
ram,sedan,21870.916666666668,26455.0,12
ram,truck,29993.530368338557,29999.0,5104
ram,unknown,28158.527649769585,27990.0,3472
ram,van,22494.254854368934,21947.5,412
