price,year,manufacturer,model,condition,cylinders,fuel,odometer,transmission,drive,type,state
4000,2009.0,ford,taurus x,excellent,unknown,gas,188000.0,automatic,unknown,SUV,ia
23900,2015.0,ram,1500,unknown,unknown,diesel,107663.0,automatic,4wd,pickup,al
7000,2011.0,chevrolet,malibu,unknown,unknown,gas,92417.0,automatic,unknown,sedan,fl
14991,2013.0,toyota,prius v,unknown,unknown,gas,62152.0,automatic,fwd,wagon,wa
10000,2015.0,ford,flex,good,6 cylinders,gas,114000.0,automatic,fwd,SUV,mi
19999,2016.0,dodge,challenger,unknown,6 cylinders,gas,119684.0,automatic,rwd,other,tn
15950,2018.0,nissan,rogue,excellent,unknown,gas,72496.0,automatic,fwd,wagon,ca
34990,2020.0,cadillac,ct5 premium luxury,good,unknown,other,13272.0,other,unknown,sedan,sc
9490,2014.0,nissan,rogue select,excellent,4 cylinders,gas,80195.0,automatic,fwd,SUV,fl
28488,2018.0,gmc,terrain,unknown,unknown,other,47861.0,automatic,4wd,unknown,ca
26490,2014.0,ram,1500 4x4,excellent,8 cylinders,gas,1234.0,automatic,4wd,truck,mo
18990,2018.0,ford,taurus limited sedan 4d,good,6 cylinders,other,20174.0,other,fwd,sedan,nm
32364,2015.0,ford,f-150 xlt,unknown,6 cylinders,gas,64503.0,automatic,4wd,unknown,or
10000,2008.0,ram,1500,good,8 cylinders,gas,170000.0,automatic,4wd,unknown,ca
4000,2011.0,unknown,2011,fair,unknown,gas,182000.0,automatic,unknown,unknown,nc
3550,2009.0,ford,taurus sel,good,6 cylinders,gas,231433.0,automatic,fwd,unknown,ia
65000,2011.0,mercedes-benz,benz g55 amg,like new,8 cylinders,gas,60000.0,automatic,4wd,SUV,id
39995,2011.0,ram,2500 laramie 4wd 6.7 cummins,unknown,6 cylinders,diesel,133590.0,automatic,4wd,pickup,ca
19590,2019.0,chevrolet,trax lt sport utility,good,unknown,other,11395.0,other,fwd,hatchback,ny
32000,2018.0,volvo,xc90,unknown,unknown,gas,37347.0,automatic,fwd,unknown,md
25999,2015.0,lexus,rc,unknown,unknown,gas,91638.0,automatic,fwd,coupe,ok
4200,2010.0,dodge,unknown,excellent,unknown,gas,180.0,automatic,unknown,unknown,ga
119900,2010.0,audi,r8 5.2l,unknown,10 cylinders,other,35535.0,manual,unknown,other,or
22498,2015.0,unknown,MERDECES BENZ GLK350,good,6 cylinders,gas,59551.0,automatic,4wd,SUV,vt
9500,2006.0,chrysler,town & country lwb,excellent,6 cylinders,gas,51000.0,automatic,fwd,mini-van,il
28000,2002.0,ford,f250 super duty,excellent,8 cylinders,diesel,99000.0,automatic,4wd,pickup,nc
37990,2020.0,volvo,xc40 t4 inscription sport,good,unknown,gas,9316.0,other,fwd,other,pa
15900,2012.0,ford,f250,excellent,8 cylinders,gas,227614.0,automatic,4wd,unknown,fl
25000,2012.0,volvo,vnl 670,unknown,unknown,diesel,86000.0,manual,unknown,unknown,ky
7900,2009.0,hyundai,tucson,unknown,unknown,gas,143810.0,automatic,fwd,wagon,hi
18000,2006.0,unknown,hino 165,good,4 cylinders,diesel,137601.0,automatic,rwd,van,tx
34900,2013.0,ram,3500,unknown,unknown,diesel,183000.0,automatic,4wd,other,fl
37500,2013.0,ford,f-350,excellent,8 cylinders,gas,131276.0,automatic,4wd,pickup,wi
5999,2008.0,volvo,v50,unknown,unknown,gas,176785.0,automatic,unknown,unknown,wi
38990,2020.0,infiniti,qx60 luxe sport utility,good,6 cylinders,gas,5279.0,other,fwd,other,ca
3495,2003.0,chevrolet,tahoe,good,8 cylinders,gas,183000.0,automatic,4wd,SUV,ks
29800,2018.0,gmc,savana g2500,like new,unknown,gas,8100.0,automatic,unknown,unknown,mi
4495,2007.0,bmw,328i,excellent,6 cylinders,gas,159000.0,automatic,unknown,unknown,ca
10490,2010.0,honda,pilot ex-l,excellent,6 cylinders,gas,150000.0,automatic,fwd,SUV,nc
19990,2016.0,ford,transit connect passenger,good,unknown,gas,39044.0,automatic,fwd,van,ga
14980,2014.0,ford,mustang v6,excellent,6 cylinders,gas,98089.0,automatic,unknown,coupe,tx
29998,2017.0,toyota,4runner,unknown,6 cylinders,gas,86987.0,automatic,rwd,SUV,tx
33990,2011.0,chevrolet,corvette grand sport,good,8 cylinders,gas,70976.0,other,rwd,other,al
35590,2019.0,ford,ranger supercrew lariat,good,unknown,gas,19305.0,other,4wd,pickup,fl
10995,2014.0,dodge,grand caravan,unknown,6 cylinders,gas,74871.0,automatic,unknown,unknown,wi
49991,2018.0,ford,f-150,unknown,6 cylinders,gas,19655.0,automatic,4wd,pickup,id
15995,2009.0,jeep,wrangler,excellent,unknown,gas,112284.0,manual,4wd,SUV,in
15999,2011.0,jeep,wrangler,excellent,6 cylinders,gas,114171.0,automatic,4wd,SUV,fl
28250,2017.0,lexus,es,excellent,6 cylinders,gas,35632.0,automatic,fwd,sedan,nc
6995,2013.0,buick,verao,unknown,4 cylinders,gas,157810.0,automatic,fwd,unknown,oh
7500,2014.0,mazda,5 sport,excellent,4 cylinders,gas,98700.0,automatic,fwd,mini-van,va
4700,2011.0,kia,sedona lx,good,6 cylinders,gas,180000.0,automatic,fwd,mini-van,ny
4499,2003.0,chevrolet,silverado 2500hd,unknown,unknown,gas,240000.0,automatic,unknown,unknown,mi
4800,2000.0,ford,mustang convertible,like new,6 cylinders,gas,104000.0,automatic,rwd,convertible,oh
32500,2010.0,gmc,1500,excellent,8 cylinders,gas,44000.0,automatic,rwd,pickup,tx
3599,2008.0,unknown,2008 suzuki sx4,excellent,4 cylinders,gas,218719.0,manual,4wd,SUV,or
14999,2015.0,chrysler,200,unknown,unknown,other,68305.0,automatic,fwd,sedan,id
38000,2019.0,toyota,tacoma,excellent,6 cylinders,gas,35000.0,automatic,4wd,unknown,ca
34900,2017.0,ram,1500,excellent,8 cylinders,gas,76770.0,automatic,rwd,truck,ca
47995,2018.0,chevrolet,silverado 3500hd lt,good,8 cylinders,gas,14530.0,automatic,rwd,pickup,ny
29500,2019.0,ford,edge,unknown,4 cylinders,gas,35805.0,automatic,4wd,SUV,mn
5995,2011.0,chevrolet,hhr lt,excellent,4 cylinders,gas,125588.0,automatic,fwd,sedan,il
18500,2000.0,volkswagen,eurovan mv,good,unknown,gas,181000.0,automatic,unknown,van,or
15840,2016.0,jeep,cherokee,unknown,4 cylinders,gas,81952.0,automatic,4wd,SUV,ny
13995,2014.0,volkswagen,cc,unknown,unknown,gas,72797.0,automatic,unknown,sedan,nh
22972,2016.0,audi,a 6,unknown,unknown,gas,67614.0,automatic,unknown,other,pa
34590,2014.0,toyota,tundra double cab sr,good,unknown,other,15242.0,other,unknown,pickup,az
43990,2019.0,jeep,wrangler unlimited sahara,good,unknown,gas,4362.0,other,4wd,SUV,md
17990,2015.0,volkswagen,golf tdi sel,good,unknown,diesel,51482.0,other,fwd,sedan,nv
4100,2009.0,kia,spectra ex,good,4 cylinders,gas,128986.0,automatic,fwd,sedan,ny
5995,2005.0,toyota,camry xle,unknown,6 cylinders,gas,122180.0,automatic,fwd,unknown,pa
